"subject","ib_class_acc","noib_class_acc","diff_ib_minus_noib","ib_eeg_acc","noib_eeg_acc"
"1","0.8016666571299235","0.7666666706403097","0.0349999864896138","0.7983333269755045","0.7933333317438761"
"2","0.7450000047683716","0.7733333508173624","-0.0283333460489908","0.7733333309491476","0.7416666746139526"
"3","0.7366666595141093","0.728333314259847","0.00833334525426221","0.700000007947286","0.7316666642824808"
"4","0.5583333373069763","0.5833333333333334","-0.0249999960263571","0.5533333321412405","0.5633333325386047"
"5","0.48000000913937885","0.44333333770434064","0.0366666714350383","0.4866666595141093","0.5183333257834116"
"6","0.5166666507720947","0.5133333305517832","0.00333332022031152","0.5366666515668234","0.5483333269755045"
"7","0.6116666595141093","0.5783333281675974","0.0333333313465118","0.6049999992052714","0.6033333341280619"
"8","0.5616666674613953","0.5800000031789144","-0.0183333357175192","0.5166666607062022","0.49166666467984516"
"9","0.8916666706403097","0.8733333349227905","0.0183333357175192","0.8966666460037231","0.899999996026357"
"10","0.49000000953674316","0.5216666559378306","-0.0316666464010874","0.578333338101705","0.5699999928474426"
"11","0.5433333218097687","0.5549999872843424","-0.0116666654745737","0.5683333277702332","0.5600000023841858"
"12","0.5383333365122477","0.5466666420300802","-0.00833330551783251","0.5649999876817068","0.5716666777928671"
"13","0.575000007947286","0.600000003973643","-0.0249999960263569","0.6033333341280619","0.6449999809265137"
"14","0.5583333174387614","0.5000000099341074","0.0583333075046539","0.528333326180776","0.5683333277702332"
"15","0.46166666348775226","0.5283333460489908","-0.0666666825612386","0.5800000031789144","0.5816666682561239"
"16","0.6500000158945719","0.5833333233992258","0.0666666924953461","0.6399999856948853","0.6666666467984518"
"17","0.6766666769981384","0.6866666674613953","-0.00999999046325684","0.6850000023841858","0.6933333476384481"
"18","0.4516666730244954","0.4583333233992259","-0.00666665037473047","0.501666655143102","0.5149999956289927"
"19","0.8033333222071329","0.8050000071525574","-0.00166668494542443","0.8316666682561239","0.8183333277702332"
"20","0.5550000071525574","0.501666655143102","0.0533333520094553","0.5716666579246521","0.5066666801770529"
"21","0.6166666746139526","0.6350000103314718","-0.0183333357175192","0.574999988079071","0.6066666642824808"
"22","0.5216666758060455","0.49666666984558105","0.0250000059604645","0.5383333464463552","0.5633333325386047"
"23","0.7400000095367432","0.7233333388964335","0.0166666706403097","0.7566666603088379","0.7183333237965902"
"24","0.5099999904632568","0.5033333400885264","0.00666665037473047","0.5200000007947286","0.5099999805291494"
"25","0.6983333428700765","0.8166666626930237","-0.118333319822947","0.7066666682561239","0.796666661898295"
"26","0.8899999856948853","0.8899999856948853","0","0.8766666650772095","0.9050000111262003"
"27","0.8450000087420145","0.8449999888737997","1.98682148511153E-08","0.8549999992052714","0.8666666547457377"
"28","0.48333332935969037","0.4666666587193807","0.0166666706403097","0.49166667461395264","0.46166667342185974"
